table_name,column_name,data_type,is_nullable,column_default
account_emailaddress,id,integer,NO,
account_emailaddress,email,character varying,NO,
account_emailaddress,verified,boolean,NO,
account_emailaddress,primary,boolean,NO,
account_emailaddress,user_id,bigint,NO,
account_emailconfirmation,id,integer,NO,
account_emailconfirmation,created,timestamp with time zone,NO,
account_emailconfirmation,sent,timestamp with time zone,YES,
account_emailconfirmation,key,character varying,NO,
account_emailconfirmation,email_address_id,integer,NO,
auth_group,id,integer,NO,
auth_group,name,character varying,NO,
auth_group_permissions,id,bigint,NO,
auth_group_permissions,group_id,integer,NO,
auth_group_permissions,permission_id,integer,NO,
auth_permission,id,integer,NO,
auth_permission,name,character varying,NO,
auth_permission,content_type_id,integer,NO,
auth_permission,codename,character varying,NO,
authtoken_token,key,character varying,NO,
authtoken_token,created,timestamp with time zone,NO,
authtoken_token,user_id,bigint,NO,
django_admin_log,id,integer,NO,
django_admin_log,action_time,timestamp with time zone,NO,
django_admin_log,object_id,text,YES,
django_admin_log,object_repr,character varying,NO,
django_admin_log,action_flag,smallint,NO,
django_admin_log,change_message,text,NO,
django_admin_log,content_type_id,integer,YES,
django_admin_log,user_id,bigint,NO,
django_celery_beat_clockedschedule,id,integer,NO,
django_celery_beat_clockedschedule,clocked_time,timestamp with time zone,NO,
django_celery_beat_crontabschedule,id,integer,NO,
django_celery_beat_crontabschedule,minute,character varying,NO,
django_celery_beat_crontabschedule,hour,character varying,NO,
django_celery_beat_crontabschedule,day_of_week,character varying,NO,
django_celery_beat_crontabschedule,day_of_month,character varying,NO,
django_celery_beat_crontabschedule,month_of_year,character varying,NO,
django_celery_beat_crontabschedule,timezone,character varying,NO,
django_celery_beat_intervalschedule,id,integer,NO,
django_celery_beat_intervalschedule,every,integer,NO,
django_celery_beat_intervalschedule,period,character varying,NO,
django_celery_beat_periodictask,id,integer,NO,
django_celery_beat_periodictask,name,character varying,NO,
django_celery_beat_periodictask,task,character varying,NO,
django_celery_beat_periodictask,args,text,NO,
django_celery_beat_periodictask,kwargs,text,NO,
django_celery_beat_periodictask,queue,character varying,YES,
django_celery_beat_periodictask,exchange,character varying,YES,
django_celery_beat_periodictask,routing_key,character varying,YES,
django_celery_beat_periodictask,expires,timestamp with time zone,YES,
django_celery_beat_periodictask,enabled,boolean,NO,
django_celery_beat_periodictask,last_run_at,timestamp with time zone,YES,
django_celery_beat_periodictask,total_run_count,integer,NO,
django_celery_beat_periodictask,date_changed,timestamp with time zone,NO,
django_celery_beat_periodictask,description,text,NO,
django_celery_beat_periodictask,crontab_id,integer,YES,
django_celery_beat_periodictask,interval_id,integer,YES,
django_celery_beat_periodictask,solar_id,integer,YES,
django_celery_beat_periodictask,one_off,boolean,NO,
django_celery_beat_periodictask,start_time,timestamp with time zone,YES,
django_celery_beat_periodictask,priority,integer,YES,
django_celery_beat_periodictask,headers,text,NO,
django_celery_beat_periodictask,clocked_id,integer,YES,
django_celery_beat_periodictask,expire_seconds,integer,YES,
django_celery_beat_periodictasks,ident,smallint,NO,
django_celery_beat_periodictasks,last_update,timestamp with time zone,NO,
django_celery_beat_solarschedule,id,integer,NO,
django_celery_beat_solarschedule,event,character varying,NO,
django_celery_beat_solarschedule,latitude,numeric,NO,
django_celery_beat_solarschedule,longitude,numeric,NO,
django_content_type,id,integer,NO,
django_content_type,app_label,character varying,NO,
django_content_type,model,character varying,NO,
django_migrations,id,bigint,NO,
django_migrations,app,character varying,NO,
django_migrations,name,character varying,NO,
django_migrations,applied,timestamp with time zone,NO,
django_session,session_key,character varying,NO,
django_session,session_data,text,NO,
django_session,expire_date,timestamp with time zone,NO,
django_site,id,integer,NO,
django_site,domain,character varying,NO,
django_site,name,character varying,NO,
oauth2_provider_accesstoken,id,bigint,NO,
oauth2_provider_accesstoken,token,character varying,NO,
oauth2_provider_accesstoken,expires,timestamp with time zone,NO,
oauth2_provider_accesstoken,scope,text,NO,
oauth2_provider_accesstoken,application_id,bigint,YES,
oauth2_provider_accesstoken,user_id,bigint,YES,
oauth2_provider_accesstoken,created,timestamp with time zone,NO,
oauth2_provider_accesstoken,updated,timestamp with time zone,NO,
oauth2_provider_accesstoken,source_refresh_token_id,bigint,YES,
oauth2_provider_accesstoken,id_token_id,bigint,YES,
oauth2_provider_application,id,bigint,NO,
oauth2_provider_application,client_id,character varying,NO,
oauth2_provider_application,redirect_uris,text,NO,
oauth2_provider_application,client_type,character varying,NO,
oauth2_provider_application,authorization_grant_type,character varying,NO,
oauth2_provider_application,client_secret,character varying,NO,
oauth2_provider_application,name,character varying,NO,
oauth2_provider_application,user_id,bigint,YES,
oauth2_provider_application,skip_authorization,boolean,NO,
oauth2_provider_application,created,timestamp with time zone,NO,
oauth2_provider_application,updated,timestamp with time zone,NO,
